Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

All Design Rainfall Depth (mm)
Issued:,24 November 2025
Location Label:,Bundaberg
Requested coordinate:,Latitude,-25.0311388895,Longitude,152.383069728
Nearest grid cell:,Latitude,25.0375 (S),Longitude,152.3875 (E)

,,Exceedances per Year (EY),Annual Exceedance Probability (AEP)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.2%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,1.38,1.59,1.94,2.19,2.53,3.09,3.42,3.80,4.45,4.54,5.15,5.84,6.75,7.45,8.30,9.59,10.6,11.7
2 min,2,2.42,2.80,3.42,3.83,4.39,5.29,5.84,6.48,7.60,7.75,8.83,10.1,11.8,13.1,14.7,17.0,18.8,20.8
3 min,3,3.29,3.83,4.73,5.32,6.13,7.43,8.21,9.11,10.7,10.9,12.4,14.2,16.5,18.3,20.5,23.7,26.3,29.0
4 min,4,4.02,4.72,5.88,6.66,7.71,9.42,10.4,11.6,13.6,13.8,15.8,17.9,20.8,23.1,25.8,29.8,33.0,36.4
5 min,5,4.67,5.51,6.92,7.86,9.16,11.3,12.4,13.8,16.2,16.5,18.8,21.4,24.8,27.4,30.6,35.3,39.1,43.0
10 min,10,7.10,8.49,10.9,12.5,14.8,18.5,20.5,22.8,26.7,27.2,30.8,34.9,40.2,44.3,49.3,57.0,63.0,69.4
15 min,15,8.76,10.6,13.6,15.8,18.7,23.7,26.3,29.1,34.1,34.8,39.4,44.6,51.3,56.5,62.9,72.7,80.4,88.5
20 min,20,10.0,12.1,15.7,18.2,21.7,27.7,30.7,34.0,39.8,40.6,46.0,52.0,60.0,66.1,73.6,85.1,94.2,104
25 min,25,11.1,13.4,17.4,20.2,24.2,31.0,34.2,38.0,44.4,45.3,51.3,58.1,67.1,74.1,82.5,95.4,106,116
30 min,30,11.9,14.4,18.7,21.8,26.1,33.6,37.1,41.2,48.2,49.2,55.8,63.3,73.2,80.9,90.2,104,115,127
45 min,45,13.8,16.7,21.8,25.4,30.6,39.6,43.8,48.6,57.1,58.2,66.3,75.4,87.6,97.1,108,125,139,153
1 hour,60,15.2,18.4,24.0,28.0,33.7,43.8,48.5,53.8,63.5,64.8,74.0,84.5,98.6,110,123,142,157,173
1.5 hour,90.0,17.2,20.8,27.0,31.6,38.1,49.7,55.3,61.3,73.1,74.6,85.7,98.3,116,129,144,167,185,203
2 hour,120,18.6,22.4,29.2,34.1,41.3,54.0,60.2,66.8,80.3,82.0,94.6,109,129,145,161,187,207,227
3 hour,180,20.5,24.8,32.3,37.8,45.8,60.1,67.5,74.9,91.5,93.3,109,126,150,169,189,218,241,265
4.5 hour,270.0,22.6,27.2,35.5,41.6,50.5,66.7,75.5,83.8,104,106,125,146,175,198,220,254,281,309
6 hour,360,24.1,29.0,37.9,44.5,54.2,71.8,81.8,90.8,114,117,138,162,195,222,246,284,314,345
9 hour,540,26.3,31.8,41.7,49.1,59.9,79.9,91.7,102,131,133,159,188,228,260,288,332,367,404
12 hour,720,28.1,34.0,44.7,52.7,64.5,86.4,99.8,111,144,147,176,209,254,290,322,372,411,452
18 hour,1080,30.8,37.4,49.3,58.4,71.7,96.7,113,125,165,168,203,243,296,339,377,436,482,530
24 hour,1440,32.9,40.0,53.0,62.8,77.5,105,123,136,181,185,225,269,329,377,420,486,537,592
30 hour,1800,34.6,42.2,56.1,66.5,82.2,112,131,145,195,199,242,291,356,408,461,536,596,659
36 hour,2160,36.1,44.0,58.7,69.7,86.2,118,138,153,206,210,256,309,378,433,493,574,640,709
48 hour,2880,38.4,47.0,62.8,74.8,92.8,127,149,166,224,228,279,337,413,473,539,629,701,777
72 hour,4320,41.5,51.0,68.5,81.7,102,140,165,183,247,252,309,374,458,524,595,692,769,850
96 hour,5760,43.3,53.3,71.9,86.1,108,149,175,194,262,267,327,396,485,554,626,725,805,887
120 hour,7200,44.3,54.6,73.8,88.7,111,154,181,201,270,276,338,409,500,572,644,746,826,910
144 hour,8640,44.8,55.2,74.7,90.1,113,158,184,205,276,281,344,417,509,581,656,759,840,925
168 hour,10080,44.8,55.2,74.9,90.7,114,159,186,207,279,284,348,421,514,586,663,768,851,938
