Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All Design Rainfall Depth (mm),,,,,,,,,,,,,,,,,,,
Issued:,24-Nov-25,,,,,,,,,,,,,,,,,,
Location Label:,Bundaberg,,,,,,,,,,,,,,,,,,
Requested coordinate:,Latitude,-25.03113889,Longitude,152.3830697,,,,,,,,,,,,,,,
Nearest grid cell:,Latitude,25.0375 (S),Longitude,152.3875 (E),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Exceedances per Year (EY),Annual Exceedance Probability (AEP),,,,,,,,,,,,,,,,
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.20%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,1.929984865,2.223678214,2.713167129,3.062802068,3.538305586,4.32148785,4.78300597,5.314451077,6.223501919,6.349370498,7.202479749,8.167472182,9.440143361,10.41912119,11.60787998,13.41199627,14.82452143,16.36291516
2 min,2,3.384466212,3.91591132,4.78300597,5.35640727,6.139589534,7.398275315,8.167472182,9.062537627,10.62890215,10.83868312,12.34910606,14.12525155,16.50276913,18.32087082,20.55853443,23.77517587,26.29254743,29.08962695
3 min,3,4.601195801,5.35640727,6.615093051,7.440231508,8.573048712,10.3911504,11.48201141,12.74069719,14.9643754,15.24408335,17.34189299,19.85926455,23.07590599,25.59327756,28.67006502,33.14539225,36.78159561,40.55765296
4 min,4,5.622129824,6.601107654,8.223413772,9.314274783,10.78274153,13.17424451,14.54481347,16.22306118,19.0201407,19.29984865,22.09692816,25.03386165,29.08962695,32.30626839,36.08232574,41.67648476,46.15181199,50.90684716
5 min,5,6.531180666,7.705954062,9.67789512,10.99252249,12.81062418,15.80349926,17.34189299,19.29984865,22.65634407,23.07590599,26.29254743,29.9287508,34.68378598,38.31998935,42.79531657,49.36845343,54.68290451,60.13720956
10 min,10,9.929632276,11.87360254,15.24408335,17.48174696,20.69838841,25.87298551,28.67006502,31.88670646,37.34101152,38.0402814,43.07502452,48.80903753,56.22129824,61.95531124,68.94801003,79.71676616,88.1080047,97.05865915
15 min,15,12.25120827,14.82452143,19.0201407,22.09692816,26.15269346,33.14539225,36.78159561,40.69750693,47.69020572,48.66918355,55.10246643,62.37487317,71.74508954,79.01749628,87.96815073,101.6738403,112.4425965,123.7707685
20 min,20,13.98539757,16.92233106,21.95707419,25.45342358,30.34831273,38.73955127,42.93517055,47.55035174,55.66188234,56.78071414,64.33282883,72.72406737,83.91238543,92.44347795,102.9325261,119.0157333,131.7424451,145.4481347
25 min,25,15.5237913,18.74043275,24.33459177,28.2505031,33.84466212,43.35473247,47.8300597,53.14451077,62.09516522,63.353851,71.74508954,81.25515989,93.84201771,103.631796,115.37953,133.4206928,148.2452143,162.2306118
30 min,30,16.64262311,20.1389725,26.15269346,30.48816671,36.50188766,46.99093584,51.88582499,57.619838,67.4096163,68.80815605,78.03851845,88.52756663,102.3731102,113.1418664,126.1482861,145.4481347,160.8320721,177.6145492
45 min,45,19.29984865,23.35561394,30.48816671,35.52290983,42.79531657,55.38217438,61.25604136,67.9690322,79.85662013,81.39501387,92.7231859,105.4498977,122.5120827,135.7982104,151.0422938,174.8174696,194.3970262,213.9765828
1 hour,60,21.25780431,25.73313153,33.56495417,39.1591132,47.13078982,61.25604136,67.82917822,75.24143894,88.80727458,90.62537627,103.491942,118.1766095,137.8960201,153.8393733,172.0203901,198.5926455,219.5707419,241.947378
1.5 hour,90,23.40742078,28.30664838,36.74420703,43.00433119,51.85015881,67.63655887,75.25757959,83.42295893,99.4815383,101.5228831,116.6288349,133.7761315,157.8640006,175.5556558,195.9691042,227.269725,251.765863,276.262001
2 hour,120,24.83446356,29.90817117,38.98743741,45.52984986,55.14319059,72.10005549,80.37821001,89.19043902,107.2154529,109.4852695,126.3086157,145.5352972,172.2390215,193.6020009,214.9649803,249.6798218,276.3835461,303.0872703
3 hour,180,26.79255862,32.41246116,42.21461675,49.40286419,59.85849682,78.54794015,88.21940033,97.89086052,119.5862982,121.9388156,142.4579946,164.676214,196.0431118,220.8752393,247.0143209,284.9159892,314.975933,346.3428309
4.5 hour,270,28.90705602,34.79079309,45.40710127,53.20944825,64.5932004,85.31418746,96.57003228,107.1863405,133.0236206,135.5817672,159.8841594,186.7446982,223.8378232,253.2565085,281.3961205,324.8846119,359.4195903,395.233642
6 hour,360,30.42656107,36.61287431,47.84923919,56.18182438,68.42819958,90.64842675,103.2735558,114.636172,143.9264714,147.7140102,174.2267812,204.527091,246.1900169,280.2778654,310.5781752,358.5536657,396.4290529,435.566953
