area,zone,duration,depth
1.0,GSAM_CA,24.0,614.0
1.0,GSAM_CA,36.0,745.0
1.0,GSAM_CA,48.0,875.0
1.0,GSAM_CA,72.0,1101.525
1.0,GSAM_CA,96.0,1185.512
1.0,GSAM_CS,24.0,939.363
1.0,GSAM_CS,36.0,1045.0
1.0,GSAM_CS,48.0,1105.883
1.0,GSAM_CS,72.0,1158.683
1.0,GSAM_CS,96.0,1201.0
1.0,GSAM_IA,24.0,709.04
1.0,GSAM_IA,36.0,831.18
1.0,GSAM_IA,48.0,891.0
1.0,GSAM_IA,72.0,939.0
1.0,GSAM_IA,96.0,959.0
1.0,GSAM_IS,24.0,498.138
1.0,GSAM_IS,36.0,533.0
1.0,GSAM_IS,48.0,558.995
1.0,GSAM_IS,72.0,604.861
1.0,GSAM_IS,96.0,620.38
1.5,GSAM_CA,24.0,607.963
1.5,GSAM_CA,36.0,739.436
1.5,GSAM_CA,48.0,868.304
1.5,GSAM_CA,72.0,1093.387
1.5,GSAM_CA,96.0,1175.468
1.5,GSAM_CS,24.0,929.878
1.5,GSAM_CS,36.0,1036.585
1.5,GSAM_CS,48.0,1094.891
1.5,GSAM_CS,72.0,1146.271
1.5,GSAM_CS,96.0,1187.291
1.5,GSAM_IA,24.0,704.919
1.5,GSAM_IA,36.0,824.191
1.5,GSAM_IA,48.0,884.462
1.5,GSAM_IA,72.0,932.922
1.5,GSAM_IA,96.0,952.411
1.5,GSAM_IS,24.0,495.201
1.5,GSAM_IS,36.0,529.72
1.5,GSAM_IS,48.0,555.016
1.5,GSAM_IS,72.0,600.581
1.5,GSAM_IS,96.0,617.211
2.0,GSAM_CA,24.0,603.628
2.0,GSAM_CA,36.0,735.367
2.0,GSAM_CA,48.0,863.447
2.0,GSAM_CA,72.0,1087.504
2.0,GSAM_CA,96.0,1168.384
2.0,GSAM_CS,24.0,922.713
2.0,GSAM_CS,36.0,1029.942
2.0,GSAM_CS,48.0,1086.588
2.0,GSAM_CS,72.0,1137.075
2.0,GSAM_CS,96.0,1177.304
2.0,GSAM_IA,24.0,701.838
2.0,GSAM_IA,36.0,819.117
2.0,GSAM_IA,48.0,879.649
2.0,GSAM_IA,72.0,928.356
2.0,GSAM_IA,96.0,947.496
2.0,GSAM_IS,24.0,493.017
2.0,GSAM_IS,36.0,527.266
2.0,GSAM_IS,48.0,552.056
2.0,GSAM_IS,72.0,597.418
2.0,GSAM_IS,96.0,614.84
2.5,GSAM_CA,24.0,600.242
2.5,GSAM_CA,36.0,732.145
2.5,GSAM_CA,48.0,859.624
2.5,GSAM_CA,72.0,1082.892
2.5,GSAM_CA,96.0,1162.907
2.5,GSAM_CS,24.0,916.945
2.5,GSAM_CS,36.0,1024.428
2.5,GSAM_CS,48.0,1079.901
2.5,GSAM_CS,72.0,1129.754
2.5,GSAM_CS,96.0,1169.433
2.5,GSAM_IA,24.0,699.357
2.5,GSAM_IA,36.0,815.117
2.5,GSAM_IA,48.0,875.785
2.5,GSAM_IA,72.0,924.64
2.5,GSAM_IA,96.0,943.511
2.5,GSAM_IS,24.0,491.266
2.5,GSAM_IS,36.0,525.297
2.5,GSAM_IS,48.0,549.693
2.5,GSAM_IS,72.0,594.903
2.5,GSAM_IS,96.0,612.936
3.0,GSAM_CA,24.0,597.463
3.0,GSAM_CA,36.0,729.472
3.0,GSAM_CA,48.0,856.468
3.0,GSAM_CA,72.0,1079.098
3.0,GSAM_CA,96.0,1158.44
3.0,GSAM_CS,24.0,912.115
3.0,GSAM_CS,36.0,1019.699
3.0,GSAM_CS,48.0,1074.297
3.0,GSAM_CS,72.0,1123.666
3.0,GSAM_CS,96.0,1162.932
3.0,GSAM_IA,24.0,697.271
3.0,GSAM_IA,36.0,811.808
3.0,GSAM_IA,48.0,872.529
3.0,GSAM_IA,72.0,921.477
3.0,GSAM_IA,96.0,940.127
3.0,GSAM_IS,24.0,489.796
3.0,GSAM_IS,36.0,523.647
3.0,GSAM_IS,48.0,547.723
3.0,GSAM_IS,72.0,592.81
3.0,GSAM_IS,96.0,611.339
3.5,GSAM_CA,24.0,595.107
3.5,GSAM_CA,36.0,727.184
3.5,GSAM_CA,48.0,853.776
3.5,GSAM_CA,72.0,1075.876
3.5,GSAM_CA,96.0,1154.669
3.5,GSAM_CS,24.0,907.958
3.5,GSAM_CS,36.0,1015.55
3.5,GSAM_CS,48.0,1069.473
3.5,GSAM_CS,72.0,1118.453
3.5,GSAM_CS,96.0,1157.392
3.5,GSAM_IA,24.0,695.466
3.5,GSAM_IA,36.0,808.982
3.5,GSAM_IA,48.0,869.698
3.5,GSAM_IA,72.0,918.706
3.5,GSAM_IA,96.0,937.167
3.5,GSAM_IS,24.0,488.527
3.5,GSAM_IS,36.0,522.226
3.5,GSAM_IS,48.0,546.033
3.5,GSAM_IS,72.0,591.017
3.5,GSAM_IS,96.0,609.962
4.0,GSAM_CA,24.0,593.062
4.0,GSAM_CA,36.0,725.182
4.0,GSAM_CA,48.0,851.43
4.0,GSAM_CA,72.0,1073.077
4.0,GSAM_CA,96.0,1151.404
4.0,GSAM_CS,24.0,904.311
4.0,GSAM_CS,36.0,1011.848
4.0,GSAM_CS,48.0,1065.239
4.0,GSAM_CS,72.0,1113.895
4.0,GSAM_CS,96.0,1152.565
4.0,GSAM_IA,24.0,693.871
4.0,GSAM_IA,36.0,806.513
4.0,GSAM_IA,48.0,867.183
4.0,GSAM_IA,72.0,916.229
4.0,GSAM_IA,96.0,934.522
4.0,GSAM_IS,24.0,487.406
4.0,GSAM_IS,36.0,520.977
4.0,GSAM_IS,48.0,544.553
4.0,GSAM_IS,72.0,589.448
4.0,GSAM_IS,96.0,608.75
4.5,GSAM_CA,24.0,591.256
4.5,GSAM_CA,36.0,723.402
4.5,GSAM_CA,48.0,849.349
4.5,GSAM_CA,72.0,1070.603
4.5,GSAM_CA,96.0,1148.526
4.5,GSAM_CS,24.0,901.063
4.5,GSAM_CS,36.0,1008.502
4.5,GSAM_CS,48.0,1061.464
4.5,GSAM_CS,72.0,1109.845
4.5,GSAM_CS,96.0,1148.289
4.5,GSAM_IA,24.0,692.44
4.5,GSAM_IA,36.0,804.32
4.5,GSAM_IA,48.0,864.911
4.5,GSAM_IA,72.0,913.982
4.5,GSAM_IA,96.0,932.124
4.5,GSAM_IS,24.0,486.403
4.5,GSAM_IS,36.0,519.861
4.5,GSAM_IS,48.0,543.237
4.5,GSAM_IS,72.0,588.052
4.5,GSAM_IS,96.0,607.667
5.0,GSAM_CA,24.0,589.639
5.0,GSAM_CA,36.0,721.799
5.0,GSAM_CA,48.0,847.479
5.0,GSAM_CA,72.0,1068.387
5.0,GSAM_CA,96.0,1145.952
5.0,GSAM_CS,24.0,898.135
5.0,GSAM_CS,36.0,1005.448
5.0,GSAM_CS,48.0,1058.061
5.0,GSAM_CS,72.0,1106.203
5.0,GSAM_CS,96.0,1144.451
5.0,GSAM_IA,24.0,691.141
5.0,GSAM_IA,36.0,802.346
5.0,GSAM_IA,48.0,862.836
5.0,GSAM_IA,72.0,911.921
5.0,GSAM_IA,96.0,929.925
5.0,GSAM_IS,24.0,485.492
5.0,GSAM_IS,36.0,518.852
5.0,GSAM_IS,48.0,542.051
5.0,GSAM_IS,72.0,586.795
5.0,GSAM_IS,96.0,606.686
5.5,GSAM_CA,24.0,588.176
5.5,GSAM_CA,36.0,720.339
5.5,GSAM_CA,48.0,845.781
5.5,GSAM_CA,72.0,1066.38
5.5,GSAM_CA,96.0,1143.623
5.5,GSAM_CS,24.0,895.47
5.5,GSAM_CS,36.0,1002.635
5.5,GSAM_CS,48.0,1054.962
5.5,GSAM_CS,72.0,1102.893
5.5,GSAM_CS,96.0,1140.969
5.5,GSAM_IA,24.0,689.95
5.5,GSAM_IA,36.0,800.55
5.5,GSAM_IA,48.0,860.921
5.5,GSAM_IA,72.0,910.012
5.5,GSAM_IA,96.0,927.888
5.5,GSAM_IS,24.0,484.658
5.5,GSAM_IS,36.0,517.932
5.5,GSAM_IS,48.0,540.973
5.5,GSAM_IS,72.0,585.652
5.5,GSAM_IS,96.0,605.791
6.0,GSAM_CA,24.0,586.839
6.0,GSAM_CA,36.0,718.999
6.0,GSAM_CA,48.0,844.225
6.0,GSAM_CA,72.0,1064.548
6.0,GSAM_CA,96.0,1141.497
6.0,GSAM_CS,24.0,893.026
6.0,GSAM_CS,36.0,1000.028
6.0,GSAM_CS,48.0,1052.118
6.0,GSAM_CS,72.0,1099.861
6.0,GSAM_CS,96.0,1137.784
6.0,GSAM_IA,24.0,688.85
6.0,GSAM_IA,36.0,798.902
6.0,GSAM_IA,48.0,859.14
6.0,GSAM_IA,72.0,908.232
6.0,GSAM_IA,96.0,925.989
6.0,GSAM_IS,24.0,483.888
6.0,GSAM_IS,36.0,517.085
6.0,GSAM_IS,48.0,539.984
6.0,GSAM_IS,72.0,584.603
6.0,GSAM_IS,96.0,604.967
6.5,GSAM_CA,24.0,585.61
6.5,GSAM_CA,36.0,717.76
6.5,GSAM_CA,48.0,842.79
6.5,GSAM_CA,72.0,1062.862
6.5,GSAM_CA,96.0,1139.541
6.5,GSAM_CS,24.0,890.769
6.5,GSAM_CS,36.0,997.596
6.5,GSAM_CS,48.0,1049.491
6.5,GSAM_CS,72.0,1097.064
6.5,GSAM_CS,96.0,1134.849
6.5,GSAM_IA,24.0,687.827
6.5,GSAM_IA,36.0,797.379
6.5,GSAM_IA,48.0,857.474
6.5,GSAM_IA,72.0,906.562
6.5,GSAM_IA,96.0,924.208
6.5,GSAM_IS,24.0,483.173
6.5,GSAM_IS,36.0,516.301
6.5,GSAM_IS,48.0,539.07
6.5,GSAM_IS,72.0,583.634
6.5,GSAM_IS,96.0,604.202
7.0,GSAM_CA,24.0,584.472
7.0,GSAM_CA,36.0,716.608
7.0,GSAM_CA,48.0,841.457
7.0,GSAM_CA,72.0,1061.301
7.0,GSAM_CA,96.0,1137.729
7.0,GSAM_CS,24.0,888.674
7.0,GSAM_CS,36.0,995.318
7.0,GSAM_CS,48.0,1047.051
7.0,GSAM_CS,72.0,1094.469
7.0,GSAM_CS,96.0,1132.128
7.0,GSAM_IA,24.0,686.87
7.0,GSAM_IA,36.0,795.964
7.0,GSAM_IA,48.0,855.906
7.0,GSAM_IA,72.0,904.986
7.0,GSAM_IA,96.0,922.527
7.0,GSAM_IS,24.0,482.504
7.0,GSAM_IS,36.0,515.57
7.0,GSAM_IS,48.0,538.222
7.0,GSAM_IS,72.0,582.734
7.0,GSAM_IS,96.0,603.49
7.5,GSAM_CA,24.0,583.412
7.5,GSAM_CA,36.0,715.532
7.5,GSAM_CA,48.0,840.213
7.5,GSAM_CA,72.0,1059.849
7.5,GSAM_CA,96.0,1136.042
7.5,GSAM_CS,24.0,886.719
7.5,GSAM_CS,36.0,993.173
7.5,GSAM_CS,48.0,1044.773
7.5,GSAM_CS,72.0,1092.048
7.5,GSAM_CS,96.0,1129.592
7.5,GSAM_IA,24.0,685.972
7.5,GSAM_IA,36.0,794.641
7.5,GSAM_IA,48.0,854.424
7.5,GSAM_IA,72.0,903.495
