duration,terrain,area,rainfall
0.25,S,1e-05,250.0
0.25,S,1.0,245.30685920577616
0.25,S,2.0,236.03548162703672
0.25,S,3.0,230.0106627671404
0.25,S,4.0,225.84035298836744
0.25,S,5.0,222.59612992327885
0.25,S,6.0,219.8163126797226
0.25,S,7.0,217.49934415519573
0.25,S,8.0,215.18393273317187
0.25,S,9.0,213.33098075455158
0.25,S,10.0,211.47880732718278
0.25,S,20.0,200.3614847310867
0.25,S,30.0,192.95395884848887
0.25,S,40.0,186.93770405235927
0.25,S,50.0,182.7712870298439
0.25,S,60.0,179.06888655323513
0.25,S,70.0,175.36804317912942
0.25,S,80.0,172.5913401405793
0.25,S,90.0,169.81619420453217
0.25,S,100.0,167.04065899285933
0.25,S,200.0,149.4656430410212
0.25,S,300.0,138.82868656711366
0.25,S,400.0,131.42894619703102
0.25,S,500.0,124.95607109188428
0.25,S,600.0,119.86940649007093
0.25,S,700.0,114.78507754201215
0.25,S,800.0,110.62488892950896
0.25,S,900.0,106.46508959263151
0.25,S,1000.0,102.76774969915765
0.5,S,1e-05,360.0
0.5,S,1.0,350.4813477737665
0.5,S,2.0,340.28699768634874
0.5,S,3.0,334.26256810207826
0.5,S,4.0,329.63057743115326
0.5,S,5.0,325.4641604086379
0.5,S,6.0,322.22305154855536
0.5,S,7.0,318.9834997909759
0.5,S,8.0,316.66808836895206
0.5,S,9.0,314.35384477380546
0.5,S,10.0,312.04037972991046
0.5,S,20.0,295.38755773549906
0.5,S,30.0,284.289698920691
0.5,S,40.0,275.96698604193006
0.5,S,50.0,269.0328193202571
0.5,S,60.0,263.02396076101695
0.5,S,70.0,258.40053415385864
0.5,S,80.0,253.77866464920342
0.5,S,90.0,249.61925458795176
0.5,S,100.0,245.4606230779516
0.5,S,200.0,220.04326036954103
0.5,S,300.0,204.3320961138445
0.5,S,400.0,192.7807311950254
0.5,S,500.0,184.46268962377357
0.5,S,600.0,176.1469837062763
0.5,S,700.0,169.21709901648666
0.5,S,800.0,163.67303555440466
0.5,S,900.0,158.59104226010044
0.5,S,1000.0,153.971119133574
0.75,S,1e-05,460.0
0.75,S,1.0,440.4332129963899
0.75,S,2.0,429.7775712924458
0.75,S,3.0,422.83055847512276
0.75,S,4.0,417.73727618767145
0.75,S,5.0,412.64827593210356
0.75,S,6.0,408.9458754554948
0.75,S,7.0,405.24503208138907
0.75,S,8.0,402.46832904283895
0.75,S,9.0,399.2315022146398
0.75,S,10.0,396.91803717074475
0.75,S,20.0,376.1135906275969
0.75,S,30.0,361.786690497105
0.75,S,40.0,350.6962279191864
0.75,S,50.0,341.455603114882
0.75,S,60.0,333.60157808953676
0.75,S,70.0,326.67169339974714
0.75,S,80.0,321.12724066203936
0.75,S,90.0,315.5839557512089
0.75,S,100.0,311.4253242412087
0.75,S,200.0,280.0111705179566
0.75,S,300.0,261.07096494657617
0.75,S,400.0,246.7518503285994
0.75,S,500.0,235.66605905818994
0.75,S,600.0,225.96647829111384
0.75,S,700.0,218.57608053604946
0.75,S,800.0,211.18607205661084
0.75,S,900.0,205.18149552925405
0.75,S,1000.0,199.17769755314882
1.0,S,1e-05,570.0
1.0,S,1.0,510.08824709185717
1.0,S,2.0,498.5100221548606
1.0,S,3.0,490.640426104485
1.0,S,4.0,485.0858522005074
1.0,S,5.0,479.9968519449395
1.0,S,6.0,476.29445146833075
1.0,S,7.0,472.13231647769874
1.0,S,8.0,468.433030206096
1.0,S,9.0,465.6574949944232
1.0,S,10.0,462.8827383340019
1.0,S,20.0,442.53958340738035
1.0,S,30.0,427.75139166036206
1.0,S,40.0,417.1222206989698
1.0,S,50.0,408.3428875111917
1.0,S,60.0,400.9501541023727
1.0,S,70.0,393.5589777960568
1.0,S,80.0,388.014525058349
1.0,S,90.0,382.00994853099223
1.0,S,100.0,377.39002540446586
1.0,S,200.0,340.90166389942476
1.0,S,300.0,316.88725054625525
1.0,S,400.0,299.33909461259464
1.0,S,500.0,284.5629704099749
1.0,S,600.0,273.01822317679375
1.0,S,700.0,261.9371032138934
1.0,S,800.0,253.624900777028
1.0,S,900.0,245.77476850794037
1.0,S,1000.0,238.84877657440833
1.5,S,1e-05,640.0
1.5,S,1.0,580.2045728038507
1.5,S,2.0,568.6263478668542
1.5,S,3.0,560.2954601999522
1.5,S,4.0,552.8957198298697
1.5,S,5.0,547.8067195743017
1.5,S,6.0,542.7204442481141
1.5,S,7.0,538.5583092574822
1.5,S,8.0,534.3977313693531
1.5,S,9.0,531.6221961576803
1.5,S,10.0,527.9248562642065
1.5,S,20.0,505.7365348714798
1.5,S,30.0,490.025759891409
1.5,S,40.0,477.09013084738535
1.5,S,50.0,467.38821442655467
1.5,S,60.0,457.6890229351044
1.5,S,70.0,449.37526339573594
1.5,S,80.0,441.52435257539673
1.5,S,90.0,435.0584844315137
1.5,S,100.0,429.05468645540844
1.5,S,200.0,387.95340878510467
1.5,S,300.0,363.0164121988826
1.5,S,400.0,345.00657537306995
1.5,S,500.0,330.6921320626023
1.5,S,600.0,317.7635099798423
1.5,S,700.0,306.22109840041566
1.5,S,800.0,297.447604347024
1.5,S,900.0,289.13656973703587
1.5,S,1000.0,282.210188527878
2.0,S,1e-05,710.0
2.0,S,1.0,647.5531488166868
2.0,S,2.0,634.5910490301113
2.0,S,3.0,625.3375781301568
2.0,S,4.0,618.3991293766005
2.0,S,5.0,612.8488375045063
2.0,S,6.0,607.7625621783187
2.0,S,7.0,603.1391355711605
2.0,S,8.0,599.4398492995577
2.0,S,9.0,595.7417308548323
2.0,S,10.0,592.0443909613584
2.0,S,20.0,566.6270282529479
2.0,S,30.0,549.5323784232983
2.0,S,40.0,536.1354577627484
2.0,S,50.0,525.0496664923389
2.0,S,60.0,515.8117666174148
2.0,S,70.0,506.57542384499385
2.0,S,80.0,499.64709625770723
2.0,S,90.0,492.7199364972979
2.0,S,100.0,485.7935552881401
2.0,S,200.0,441.0019446856261
2.0,S,300.0,412.83590678372013
2.0,S,400.0,392.05870953437557
2.0,S,500.0,375.8987104821771
2.0,S,600.0,362.04750516636454
2.0,S,700.0,349.58251035388537
2.0,S,800.0,338.9638498343886
2.0,S,900.0,330.19152360787416
2.0,S,1000.0,321.41997593261135
2.5,S,1e-05,760.0
2.5,S,1.0,689.9919775371038
2.5,S,2.0,676.1072945174759
2.5,S,3.0,666.3925320009952
2.5,S,4.0,658.9927916309126
2.5,S,5.0,652.5199165257658
2.5,S,6.0,646.9723495830519
2.5,S,7.0,642.3489229758937
2.5,S,8.0,638.1883450877647
2.5,S,9.0,633.5676434099868
2.5,S,10.0,629.8703035165129
2.5,S,20.0,603.0690659585235
