area,zone,duration,depth
1.0,COAST_S,24.0,1380.0
1.0,COAST_S,36.0,1697.0
1.0,COAST_S,48.0,1991.0
1.0,COAST_S,72.0,2512.0
1.0,COAST_S,96.0,2810.0
1.0,COAST_S,120.0,2960.0
1.0,SWWA_W,24.0,606.0
1.0,SWWA_W,36.0,766.0
1.0,SWWA_W,48.0,813.0
1.0,SWWA_W,72.0,844.0
1.0,SWWA_W,96.0,874.0
1.0,INLAND_S,24.0,1010.0
1.0,INLAND_S,36.0,1188.0
1.0,INLAND_S,48.0,1353.0
1.0,INLAND_S,72.0,1645.0
1.0,INLAND_S,96.0,1860.0
1.0,COAST_W,24.0,845.0
1.0,COAST_W,36.0,1012.0
1.0,COAST_W,48.0,1116.0
1.0,COAST_W,72.0,1244.0
1.0,COAST_W,96.0,1287.0
1.0,COAST_W,120.0,1329.0
1.5,COAST_S,24.0,1377.359
1.5,COAST_S,36.0,1692.774
1.5,COAST_S,48.0,1985.365
1.5,COAST_S,72.0,2503.724
1.5,COAST_S,96.0,2801.195
1.5,COAST_S,120.0,2949.435
1.5,SWWA_W,24.0,603.887
1.5,SWWA_W,36.0,763.887
1.5,SWWA_W,48.0,809.654
1.5,SWWA_W,72.0,841.183
1.5,SWWA_W,96.0,871.359
1.5,INLAND_S,24.0,1005.95
1.5,INLAND_S,36.0,1181.485
1.5,INLAND_S,48.0,1344.195
1.5,INLAND_S,72.0,1632.321
1.5,INLAND_S,96.0,1844.152
1.5,COAST_W,24.0,843.591
1.5,COAST_W,36.0,1010.767
1.5,COAST_W,48.0,1113.887
1.5,COAST_W,72.0,1242.591
1.5,COAST_W,96.0,1285.239
1.5,COAST_W,120.0,1327.063
2.0,COAST_S,24.0,1375.485
2.0,COAST_S,36.0,1689.775
2.0,COAST_S,48.0,1981.367
2.0,COAST_S,72.0,2497.852
2.0,COAST_S,96.0,2794.949
2.0,COAST_S,120.0,2941.938
2.0,SWWA_W,24.0,602.388
2.0,SWWA_W,36.0,762.388
2.0,SWWA_W,48.0,807.28
2.0,SWWA_W,72.0,839.184
2.0,SWWA_W,96.0,869.485
2.0,INLAND_S,24.0,1003.076
2.0,INLAND_S,36.0,1176.862
2.0,INLAND_S,48.0,1337.949
2.0,INLAND_S,72.0,1623.326
2.0,INLAND_S,96.0,1832.907
2.0,COAST_W,24.0,842.592
2.0,COAST_W,36.0,1009.893
2.0,COAST_W,48.0,1112.388
2.0,COAST_W,72.0,1241.592
2.0,COAST_W,96.0,1283.99
2.0,COAST_W,120.0,1325.689
2.5,COAST_S,24.0,1374.031
2.5,COAST_S,36.0,1687.449
2.5,COAST_S,48.0,1978.266
2.5,COAST_S,72.0,2493.297
2.5,COAST_S,96.0,2790.103
2.5,COAST_S,120.0,2936.124
2.5,SWWA_W,24.0,601.225
2.5,SWWA_W,36.0,761.225
2.5,SWWA_W,48.0,805.439
2.5,SWWA_W,72.0,837.633
2.5,SWWA_W,96.0,868.031
2.5,INLAND_S,24.0,1000.847
2.5,INLAND_S,36.0,1173.276
2.5,INLAND_S,48.0,1333.103
2.5,INLAND_S,72.0,1616.348
2.5,INLAND_S,96.0,1824.185
2.5,COAST_W,24.0,841.816
2.5,COAST_W,36.0,1009.214
2.5,COAST_W,48.0,1111.225
2.5,COAST_W,72.0,1240.816
2.5,COAST_W,96.0,1283.021
2.5,COAST_W,120.0,1324.623
3.0,COAST_S,24.0,1372.843
3.0,COAST_S,36.0,1685.549
3.0,COAST_S,48.0,1975.732
3.0,COAST_S,72.0,2489.575
3.0,COAST_S,96.0,2786.144
3.0,COAST_S,120.0,2931.373
3.0,SWWA_W,24.0,600.275
3.0,SWWA_W,36.0,760.275
3.0,SWWA_W,48.0,803.935
3.0,SWWA_W,72.0,836.366
3.0,SWWA_W,96.0,866.843
3.0,INLAND_S,24.0,999.026
3.0,INLAND_S,36.0,1170.347
3.0,INLAND_S,48.0,1329.144
3.0,INLAND_S,72.0,1610.647
3.0,INLAND_S,96.0,1817.059
3.0,COAST_W,24.0,841.183
3.0,COAST_W,36.0,1008.66
3.0,COAST_W,48.0,1110.275
3.0,COAST_W,72.0,1240.183
3.0,COAST_W,96.0,1282.229
3.0,COAST_W,120.0,1323.752
3.5,COAST_S,24.0,1371.839
3.5,COAST_S,36.0,1683.942
3.5,COAST_S,48.0,1973.59
3.5,COAST_S,72.0,2486.429
3.5,COAST_S,96.0,2782.797
3.5,COAST_S,120.0,2927.356
3.5,SWWA_W,24.0,599.471
3.5,SWWA_W,36.0,759.471
3.5,SWWA_W,48.0,802.663
3.5,SWWA_W,72.0,835.295
3.5,SWWA_W,96.0,865.839
3.5,INLAND_S,24.0,997.486
3.5,INLAND_S,36.0,1167.869
3.5,INLAND_S,48.0,1325.797
3.5,INLAND_S,72.0,1605.827
3.5,INLAND_S,96.0,1811.034
3.5,COAST_W,24.0,840.647
3.5,COAST_W,36.0,1008.192
3.5,COAST_W,48.0,1109.471
3.5,COAST_W,72.0,1239.647
3.5,COAST_W,96.0,1281.559
3.5,COAST_W,120.0,1323.015
4.0,COAST_S,24.0,1370.969
4.0,COAST_S,36.0,1682.551
4.0,COAST_S,48.0,1971.734
4.0,COAST_S,72.0,2483.703
4.0,COAST_S,96.0,2779.897
4.0,COAST_S,120.0,2923.876
4.0,SWWA_W,24.0,598.775
4.0,SWWA_W,36.0,758.775
4.0,SWWA_W,48.0,801.561
4.0,SWWA_W,72.0,834.367
4.0,SWWA_W,96.0,864.969
4.0,INLAND_S,24.0,996.153
4.0,INLAND_S,36.0,1165.724
4.0,INLAND_S,48.0,1322.897
4.0,INLAND_S,72.0,1601.652
4.0,INLAND_S,96.0,1805.815
4.0,COAST_W,24.0,840.184
4.0,COAST_W,36.0,1007.786
4.0,COAST_W,48.0,1108.775
4.0,COAST_W,72.0,1239.184
4.0,COAST_W,96.0,1280.979
4.0,COAST_W,120.0,1322.377
4.5,COAST_S,24.0,1370.202
4.5,COAST_S,36.0,1681.323
4.5,COAST_S,48.0,1970.097
4.5,COAST_S,72.0,2481.299
4.5,COAST_S,96.0,2777.339
4.5,COAST_S,120.0,2920.807
4.5,SWWA_W,24.0,598.161
4.5,SWWA_W,36.0,758.161
4.5,SWWA_W,48.0,800.589
4.5,SWWA_W,72.0,833.549
4.5,SWWA_W,96.0,864.202
4.5,INLAND_S,24.0,994.976
4.5,INLAND_S,36.0,1163.831
4.5,INLAND_S,48.0,1320.339
4.5,INLAND_S,72.0,1597.969
4.5,INLAND_S,96.0,1801.211
4.5,COAST_W,24.0,839.774
4.5,COAST_W,36.0,1007.428
4.5,COAST_W,48.0,1108.161
4.5,COAST_W,72.0,1238.774
4.5,COAST_W,96.0,1280.468
4.5,COAST_W,120.0,1321.815
5.0,COAST_S,24.0,1369.515
5.0,COAST_S,36.0,1680.225
5.0,COAST_S,48.0,1968.633
5.0,COAST_S,72.0,2479.148
5.0,COAST_S,96.0,2775.052
5.0,COAST_S,120.0,2918.062
5.0,SWWA_W,24.0,597.612
5.0,SWWA_W,36.0,757.612
5.0,SWWA_W,48.0,799.72
5.0,SWWA_W,72.0,832.816
5.0,SWWA_W,96.0,863.515
5.0,INLAND_S,24.0,993.924
5.0,INLAND_S,36.0,1162.138
5.0,INLAND_S,48.0,1318.051
5.0,INLAND_S,72.0,1594.674
5.0,INLAND_S,96.0,1797.093
5.0,COAST_W,24.0,839.408
5.0,COAST_W,36.0,1007.107
5.0,COAST_W,48.0,1107.612
5.0,COAST_W,72.0,1238.408
5.0,COAST_W,96.0,1280.01
5.0,COAST_W,120.0,1321.311
5.5,COAST_S,24.0,1368.895
5.5,COAST_S,36.0,1679.231
5.5,COAST_S,48.0,1967.308
5.5,COAST_S,72.0,2477.203
5.5,COAST_S,96.0,2772.982
5.5,COAST_S,120.0,2915.578
5.5,SWWA_W,24.0,597.116
5.5,SWWA_W,36.0,757.116
5.5,SWWA_W,48.0,798.933
5.5,SWWA_W,72.0,832.154
5.5,SWWA_W,96.0,862.895
5.5,INLAND_S,24.0,992.972
5.5,INLAND_S,36.0,1160.607
5.5,INLAND_S,48.0,1315.982
5.5,INLAND_S,72.0,1591.694
5.5,INLAND_S,96.0,1793.367
5.5,COAST_W,24.0,839.077
5.5,COAST_W,36.0,1006.817
5.5,COAST_W,48.0,1107.116
5.5,COAST_W,72.0,1238.077
5.5,COAST_W,96.0,1279.596
5.5,COAST_W,120.0,1320.856
6.0,COAST_S,24.0,1368.328
6.0,COAST_S,36.0,1678.324
6.0,COAST_S,48.0,1966.099
6.0,COAST_S,72.0,2475.427
6.0,COAST_S,96.0,2771.092
6.0,COAST_S,120.0,2913.311
6.0,SWWA_W,24.0,596.662
6.0,SWWA_W,36.0,756.662
6.0,SWWA_W,48.0,798.215
6.0,SWWA_W,72.0,831.55
6.0,SWWA_W,96.0,862.328
6.0,INLAND_S,24.0,992.103
6.0,INLAND_S,36.0,1159.208
6.0,INLAND_S,48.0,1314.092
6.0,INLAND_S,72.0,1588.973
6.0,INLAND_S,96.0,1789.966
6.0,COAST_W,24.0,838.775
6.0,COAST_W,36.0,1006.553
6.0,COAST_W,48.0,1106.662
6.0,COAST_W,72.0,1237.775
6.0,COAST_W,96.0,1279.218
6.0,COAST_W,120.0,1320.44
6.5,COAST_S,24.0,1367.806
6.5,COAST_S,36.0,1677.49
6.5,COAST_S,48.0,1964.987
6.5,COAST_S,72.0,2473.793
6.5,COAST_S,96.0,2769.354
6.5,COAST_S,120.0,2911.225
6.5,SWWA_W,24.0,596.245
6.5,SWWA_W,36.0,756.245
6.5,SWWA_W,48.0,797.555
6.5,SWWA_W,72.0,830.993
6.5,SWWA_W,96.0,861.806
6.5,INLAND_S,24.0,991.303
6.5,INLAND_S,36.0,1157.922
6.5,INLAND_S,48.0,1312.354
6.5,INLAND_S,72.0,1586.47
6.5,INLAND_S,96.0,1786.838
6.5,COAST_W,24.0,838.497
6.5,COAST_W,36.0,1006.31
6.5,COAST_W,48.0,1106.245
6.5,COAST_W,72.0,1237.497
6.5,COAST_W,96.0,1278.871
6.5,COAST_W,120.0,1320.058
7.0,COAST_S,24.0,1367.324
7.0,COAST_S,36.0,1676.718
7.0,COAST_S,48.0,1963.957
7.0,COAST_S,72.0,2472.28
7.0,COAST_S,96.0,2767.745
7.0,COAST_S,120.0,2909.294
7.0,SWWA_W,24.0,595.859
7.0,SWWA_W,36.0,755.859
7.0,SWWA_W,48.0,796.943
7.0,SWWA_W,72.0,830.478
7.0,SWWA_W,96.0,861.324
7.0,INLAND_S,24.0,990.563
7.0,INLAND_S,36.0,1156.731
7.0,INLAND_S,48.0,1310.745
7.0,INLAND_S,72.0,1584.153
7.0,INLAND_S,96.0,1783.941
7.0,COAST_W,24.0,838.239
7.0,COAST_W,36.0,1006.084
7.0,COAST_W,48.0,1105.859
7.0,COAST_W,72.0,1237.239
7.0,COAST_W,96.0,1278.549
7.0,COAST_W,120.0,1319.704
7.5,COAST_S,24.0,1366.874
7.5,COAST_S,36.0,1675.999
7.5,COAST_S,48.0,1962.998
7.5,COAST_S,72.0,2470.872
7.5,COAST_S,96.0,2766.247
7.5,COAST_S,120.0,2907.496
